Timestamp,Net Type,Train Data Location,Test Data Location,Images Location,Plots Location,Save Location,Load Location,Epochs,Layers,Momentum,Learning Rate,Criterion,Optimizer,Train Transform,Test Transform,Grayscale,Overall Accuracy,MAUC Score,Classes,Class Accuracies,Class AUC Scores,Class 95% CIs,P-Value [Acc > NIR],Kappa,Population,P: Condition positive,N: Condition negative,Test outcome positive,Test outcome negative,TP: True Positive,TN: True Negative,FP: False Positive,FN: False Negative,"TPR: (Sensitivity, hit rate, recall)",TNR=SPC: (Specificity),PPV: Pos Pred Value (Precision),NPV: Neg Pred Value,FPR: False-out,FDR: False Discovery Rate,FNR: Miss Rate,ACC: Accuracy,F1 score,MCC: Matthews correlation coefficient,Informedness,Markedness,Prevalence,LR+: Positive likelihood ratio,LR-: Negative likelihood ratio,DOR: Diagnostic odds ratio,FOR: False omission rate,Confusion Matrix,"
"
2018-04-22T11:29:39,resnet,parser/train.csv,parser/validate.csv,images/,plots/,run80.pt,run80.pt,80,D,0.5,0.1,crossentropy,sgd,main,main,False,74.5796241345,0.940862636529,SUV;SEDAN;HATCHBACK;CONVERTIBLE;COUPE;WAGON;TRUCK;VAN,86.4516129032;77.9661016949;51.2;62.6213592233;53.3834586466;30.0;86.5612648221;87.4686716792,0.978583810672;0.937486174169;0.927658408013;0.93878576622;0.920284052957;0.912099391481;0.987498799036;0.987849321393,0.973157415833:0.983957913631;0.92833053007:0.947084363505;0.911434147655:0.942562170013;0.925414087335:0.950387195582;0.908743764765:0.93185721721;0.883290017873:0.93954509957;0.981890683943:0.992353400416;0.983890667703:0.991844265857,0.0,0.69940164236,2022;2022;2022;2022;2022;2022;2022;2022,310;413;125;206;266;50;253;399,1712;1609;1897;1816;1756;1972;1769;1623,349;463;112;204;234;37;254;369,1673;1559;1910;1818;1788;1985;1768;1653,268;322;64;129;142;15;219;349,1631;1468;1849;1741;1664;1950;1734;1603,81;141;48;75;92;22;35;20,42;91;61;77;124;35;34;50,0.864516129032;0.779661016949;0.512;0.626213592233;0.533834586466;0.3;0.865612648221;0.874686716792,0.952686915888;0.912367930392;0.974696889826;0.958700440529;0.947608200456;0.988843813387;0.980214810627;0.987677141097,0.767908309456;0.695464362851;0.571428571429;0.632352941176;0.606837606838;0.405405405405;0.862204724409;0.945799457995,0.97489539749;0.941629249519;0.968062827225;0.957645764576;0.930648769575;0.982367758186;0.980769230769;0.969751966122,0.0473130841121;0.0876320696085;0.025303110174;0.0412995594714;0.0523917995444;0.0111561866126;0.0197851893725;0.0123228589033,0.232091690544;0.304535637149;0.428571428571;0.367647058824;0.393162393162;0.594594594595;0.137795275591;0.0542005420054,0.135483870968;0.220338983051;0.488;0.373786407767;0.466165413534;0.7;0.134387351779;0.125313283208,0.939169139466;0.885262116716;0.94609297725;0.924826904055;0.893175074184;0.971810089021;0.96587537092;0.965380811078,0.813353566009;0.735159817352;0.540084388186;0.629268292683;0.568;0.344827586207;0.863905325444;0.908854166667,0.779115813659;0.663993389971;0.512414661981;0.587450867993;0.508693364408;0.334672794385;0.844399501649;0.888559766249,0.81720304492;0.692028947341;0.486696889826;0.584914032762;0.481442786922;0.288843813387;0.845827458849;0.862363857889,0.742803706945;0.63709361237;0.539491398654;0.589998705753;0.537486376413;0.387773163592;0.842973955179;0.915551424117,0.15331355094;0.204253214639;0.0618199802176;0.101879327399;0.131552917903;0.024727992087;0.12512363996;0.197329376855,18.2722421346;8.89698281043;20.2346666667;15.1627184466;10.1892775417;26.8909090909;43.7505364201;70.9808270677,0.142212377129;0.24150233224;0.500668469443;0.389888636706;0.491938982071;0.707897435897;0.137099899248;0.126876767715,128.485596708;36.840152755;40.4153005464;38.8898701299;20.7124824684;37.987012987;319.114285714;559.447,0.0251046025105;0.0583707504811;0.0319371727749;0.0423542354235;0.0693512304251;0.0176322418136;0.0192307692308;0.0302480338778,268:13:3:1:2:3:14:6;16:322:16:19:27:4:4:5;16:17:64:3:22:2:0:1;4:36:8:129:28:1:0:0;4:49:16:48:142:6:1:0;12:11:3:2:4:15:2:1;14:4:2:1:4:2:219:7;15:11:0:1:5:4:14:349,"
"
2018-04-22T16:20:14,resnet,parser/train.csv,parser/validate.csv,images/,plots/,run100.pt,run100.pt,100,D,0.5,0.1,crossentropy,sgd,main,main,False,72.3541048467,0.935510630812,SUV;SEDAN;HATCHBACK;CONVERTIBLE;COUPE;WAGON;TRUCK;VAN,82.5806451613;70.2179176755;66.4;62.1359223301;45.4887218045;20.0;82.6086956522;91.7293233083,0.97563592855;0.927027450013;0.922572482868;0.938295250417;0.907485827325;0.910780933063;0.984026615604;0.990056780892,0.969824599036:0.981166252871;0.916669371832:0.937226353763;0.903982679842:0.938636675892;0.925782810455:0.948909387154;0.894652151284:0.920843024217;0.869514077085:0.946395250212;0.977618627542:0.989067424121;0.986479601366:0.993531922015,0.0,0.674329713872,2022;2022;2022;2022;2022;2022;2022;2022,310;413;125;206;266;50;253;399,1712;1609;1897;1816;1756;1972;1769;1623,315;439;231;192;192;21;232;400,1707;1583;1791;1830;1830;2001;1790;1622,256;290;83;128;121;10;209;366,1653;1460;1749;1752;1685;1961;1746;1589,59;149;148;64;71;11;23;34,54;123;42;78;145;40;44;33,0.825806451613;0.702179176755;0.664;0.621359223301;0.454887218045;0.2;0.826086956522;0.917293233083,0.965537383178;0.907395898073;0.921982076964;0.964757709251;0.959567198178;0.994421906694;0.986998304127;0.979051139864,0.812698412698;0.660592255125;0.359307359307;0.666666666667;0.630208333333;0.47619047619;0.900862068966;0.915,0.968365553603;0.922299431459;0.976549413735;0.95737704918;0.920765027322;0.980009995002;0.975418994413;0.979654747226,0.0344626168224;0.0926041019267;0.0780179230364;0.0352422907489;0.0404328018223;0.00557809330629;0.0130016958734;0.0209488601356,0.187301587302;0.339407744875;0.640692640693;0.333333333333;0.369791666667;0.52380952381;0.0991379310345;0.085,0.174193548387;0.297820823245;0.336;0.378640776699;0.545112781955;0.8;0.173913043478;0.0827067669173,0.944114737883;0.865479723046;0.906033630069;0.929772502473;0.893175074184;0.974777448071;0.966864490603;0.966864490603,0.8192;0.680751173709;0.466292134831;0.643216080402;0.528384279476;0.281690140845;0.861855670103;0.916145181477,0.786187098794;0.596084090936;0.443628278438;0.604783092117;0.477863309478;0.297817671477;0.844091948083;0.895499161589,0.79134383479;0.609575074829;0.585982076964;0.586116932552;0.414454416223;0.194421906694;0.813085260648;0.896344372947,0.781063966301;0.582891686585;0.335856773043;0.624043715847;0.550973360656;0.456200471193;0.876281063379;0.894654747226,0.15331355094;0.204253214639;0.0618199802176;0.101879327399;0.131552917903;0.024727992087;0.12512363996;0.197329376855,23.9623838163;7.58259258657;8.51086486486;17.6310679612;11.2504500688;35.8545454545;63.5368620038;43.7872622733,0.180410982964;0.328214866165;0.364432246998;0.392472403245;0.568081925883;0.804487506374;0.176203994223;0.0844764523013,132.821092279;23.1025263273;23.3537644788;44.9230769231;19.8042739194;44.5681818182;360.586956522;518.336898396,0.0316344463972;0.0777005685407;0.0234505862647;0.0426229508197;0.0792349726776;0.0199900049975;0.0245810055866;0.0203452527744,256:19:15:0:1:1:9:9;13:290:50:20:30:4:3:3;9:10:83:5:12:1:2:3;1:34:20:128:22:1:0:0;1:62:45:32:121:3:0:2;2:19:8:5:4:10:0:2;20:2:5:1:1:0:209:15;13:3:5:1:1:1:9:366,"
"
2018-04-22T20:06:10,resnet,parser/train.csv,parser/test.csv,images/,plots/,run60.pt,run60.pt,60,D,0.5,0.1,crossentropy,sgd,main,main,False,72.417202175,0.931149198428,SUV;SEDAN;HATCHBACK;CONVERTIBLE;COUPE;WAGON;TRUCK;VAN,72.5806451613;72.6392251816;44.8;64.5631067961;64.6616541353;31.3725490196;83.7944664032;87.969924812,0.960601095983;0.927804430542;0.883696522655;0.940815170638;0.926650005777;0.905739171937;0.98540005806;0.980871205106,0.952367899837:0.969157016315;0.917417657856:0.937519529455;0.858301240907:0.906309799789;0.926389686948:0.95418728239;0.91510473184:0.937358770218;0.875706001009:0.934873417722;0.980591152038:0.98963819849;0.975262972703:0.985942621695,0.0,0.674038973808,2023;2023;2023;2023;2023;2023;2023;2023,310;413;125;206;266;51;253;399,1713;1610;1898;1817;1757;1972;1770;1624,284;433;116;191;300;40;247;412,1739;1590;1907;1832;1723;1983;1776;1611,225;300;56;133;172;16;212;351,1654;1477;1838;1759;1629;1948;1735;1563,59;133;60;58;128;24;35;61,85;113;69;73;94;35;41;48,0.725806451613;0.726392251816;0.448;0.645631067961;0.646616541353;0.313725490196;0.837944664032;0.87969924812,0.965557501459;0.917391304348;0.968387776607;0.968079251513;0.927148548662;0.987829614604;0.980225988701;0.962438423645,0.792253521127;0.692840646651;0.48275862069;0.696335078534;0.573333333333;0.4;0.858299595142;0.851941747573,0.9511213341;0.92893081761;0.963817514421;0.960152838428;0.945443993035;0.982349974786;0.976914414414;0.970204841713,0.0344424985406;0.0826086956522;0.031612223393;0.0319207484865;0.0728514513375;0.0121703853955;0.0197740112994;0.0375615763547,0.207746478873;0.307159353349;0.51724137931;0.303664921466;0.426666666667;0.6;0.141700404858;0.148058252427,0.274193548387;0.273607748184;0.552;0.354368932039;0.353383458647;0.686274509804;0.162055335968;0.12030075188,0.928818586258;0.878398418191;0.936233316856;0.93524468611;0.890261987148;0.970835392981;0.962432031636;0.94611962432,0.757575757576;0.709219858156;0.464730290456;0.670025188917;0.60777385159;0.351648351648;0.848;0.865598027127,0.716897885702;0.632681787618;0.431217861393;0.634738851221;0.545578884637;0.339557928367;0.826648408557;0.832082096041,0.691363953072;0.643783556164;0.416387776607;0.613710319475;0.573765090016;0.301555104801;0.818170652732;0.842137671766,0.743374855227;0.621771464261;0.44657613511;0.656487916962;0.518777326369;0.382349974786;0.835214009556;0.822146589286,0.153237765695;0.204152249135;0.061789421651;0.101828966881;0.131487889273;0.0252100840336;0.125061789422;0.19723183391,21.0729907053;8.79316936409;14.1717333333;20.2260629394;8.87582236842;25.7777777778;42.3760587239;23.4201898188,0.28397433397;0.298245412712;0.570019586507;0.366053638155;0.381150851346;0.694729637235;0.165324463783;0.124995790821,74.2073778664;29.4829995342;24.8618357488;55.2543693906;23.2869015957;37.1047619048;256.320557491;187.367827869,0.0488786658999;0.0710691823899;0.0361824855794;0.0398471615721;0.0545560069646;0.0176500252143;0.0230855855856;0.0297951582868,225:25:14:6:7:5:12:16;7:300:19:22:51:5:4:5;13:17:56:3:19:6:2:9;4:22:4:133:38:2:2:1;3:48:10:21:172:3:2:7;8:7:7:3:5:16:0:5;10:3:2:2:4:2:212:18;14:11:4:1:4:1:13:351,"
"
2018-04-22T21:54:52,resnet,parser/train.csv,parser/validate.csv,images/,plots/,run60.pt,run60.pt,60,D,0.5,0.1,crossentropy,sgd,main,main,False,72.7002967359,0.928423555036,SUV;SEDAN;HATCHBACK;CONVERTIBLE;COUPE;WAGON;TRUCK;VAN,77.7419354839;72.6392251816;40.8;54.3689320388;62.7819548872;42.0;84.9802371542;90.977443609,0.971327630389;0.928565409162;0.885077490775;0.924265429195;0.902754465891;0.916592292089;0.985476710229;0.986960623988,0.962525027247:0.977897831457;0.918520755829:0.938475818631;0.863364809274:0.906398080065;0.909143855562:0.938404905459;0.888873626374:0.916654869762;0.884090909091:0.943823246481;0.980154840389:0.989934882225;0.982272727273:0.991210670576,0.0,0.677008769412,2022;2022;2022;2022;2022;2022;2022;2022,310;413;125;206;266;50;253;399,1712;1609;1897;1816;1756;1972;1769;1623,280;441;107;182;306;38;252;416,1742;1581;1915;1840;1716;1984;1770;1606,241;300;51;112;167;21;215;363,1673;1468;1841;1746;1617;1955;1732;1570,39;141;56;70;139;17;37;53,69;113;74;94;99;29;38;36,0.777419354839;0.726392251816;0.408;0.543689320388;0.627819548872;0.42;0.849802371542;0.90977443609,0.977219626168;0.912367930392;0.970479704797;0.961453744493;0.920842824601;0.991379310345;0.979084228378;0.967344423906,0.860714285714;0.680272108844;0.476635514019;0.615384615385;0.545751633987;0.552631578947;0.853174603175;0.872596153846,0.960390355913;0.928526249209;0.96135770235;0.948913043478;0.942307692308;0.985383064516;0.978531073446;0.977584059776,0.0227803738318;0.0876320696085;0.029520295203;0.0385462555066;0.0791571753986;0.00862068965517;0.0209157716224;0.0326555760937,0.139285714286;0.319727891156;0.523364485981;0.384615384615;0.454248366013;0.447368421053;0.146825396825;0.127403846154,0.222580645161;0.273607748184;0.592;0.456310679612;0.372180451128;0.58;0.150197628458;0.0902255639098,0.946587537092;0.874381800198;0.935707220574;0.918892185955;0.882294757666;0.97725024728;0.962908011869;0.955984174085,0.816949152542;0.702576112412;0.439655172414;0.577319587629;0.583916083916;0.477272727273;0.851485148515;0.890797546012,0.787170610514;0.623599350639;0.407150516682;0.53390172214;0.517474432567;0.470455197637;0.83029494183;0.863544497848,0.754638981007;0.638760182208;0.378479704797;0.505143064882;0.548662373474;0.411379310345;0.828886599919;0.877118859997,0.821104641627;0.608798358053;0.437993216369;0.564297658863;0.488059326295;0.538014643463;0.831705676621;0.850180213622,0.15331355094;0.204253214639;0.0618199802176;0.101879327399;0.131552917903;0.024727992087;0.12512363996;0.197329376855,34.1267162945;8.28911441966;13.821;14.1048543689;7.93130307784;48.72;40.6297404123;27.8596964108,0.227769315311;0.299887511463;0.610007604563;0.474604922208;0.404173699555;0.585043478261;0.153406238304;0.0932713950481,149.830174656;27.6407456223;22.6570945946;29.7191489362;19.623501199;83.275862069;264.850640114;298.694968553,0.0396096440873;0.0714737507906;0.0386422976501;0.0510869565217;0.0576923076923;0.0146169354839;0.0214689265537;0.0224159402242,241:20:10:5:3:3:18:10;8:300:17:21:53:3:4:7;7:29:51:10:20:3:0:5;4:22:7:112:55:2:1:3;0:46:14:27:167:4:3:5;5:12:2:1:3:21:1:5;5:5:2:4:4:0:215:18;10:7:4:2:1:2:10:363,"
"
